###,,,
###,,,
###,,,
# ME counts rate ,,,
# for MAXI J1820+070 ,,,
,,,
# The uncertainties in count rates are quoted at 1-sigma confidence level,,,
,,,
#,,,
# This file is used to plot the ME light curve in Figure 1.,,,
#,,,
,,,
,,,
####,,,
####,,,
date(MJD),err(MJD),counts rate(photons/s),err(photons/s)
58257.71057,0.042008102,212.9200311,0.319747744
58257.81038,0.009369213,211.1040438,0.441513053
58258.73944,0.073778935,209.3316714,0.2613712
58258.9106,0.047042824,208.0361362,0.302290653
58259.04466,0.045653935,206.575876,0.35159722
58259.17924,0.043570602,205.3282144,0.40398638
58259.30502,0.050341435,207.1958761,0.323991517
58259.43861,0.04947338,208.2698036,0.325894675
58259.56367,0.040966435,207.8829899,0.335469706
58259.69775,0.042528935,206.8687601,0.310357041
58260.27125,0.078640046,203.1616138,0.273658451
58260.43242,0.049820602,202.1268897,0.314530079
58260.52353,0.007459491,203.9319168,0.482049868
58261.13392,0.077771991,199.8731276,0.268219256
58261.29299,0.05103588,197.9904142,0.303153167
58261.39324,0.017181713,197.3025895,0.431227809
58263.25009,0.082980324,186.5643698,0.232581901
58263.41433,0.051383102,185.0289575,0.278342269
58263.51334,0.017181713,184.0945005,0.427224109
58265.90204,0.082459491,175.169986,0.212535387
58266.89718,0.080549769,174.1296241,0.214635223
58267.76192,0.079855324,172.3494994,0.196101004
58267.89119,0.016834491,171.9632223,0.354931842
58268.82001,0.082459491,163.9287919,0.189234354
58268.95272,0.015966435,164.4010182,0.380804067
58269.81682,0.080376157,162.3468527,0.193172382
58269.96299,0.032806713,163.5745517,0.354274157
58270.81608,0.075515046,159.7221263,0.194727826
58270.98921,0.065966435,159.1143616,0.246333154
58271.80979,0.075515046,155.3451546,0.200428099
58271.96681,0.050515046,155.6435237,0.260026967
58272.08164,0.034195602,153.79469,0.378904514
58272.80316,0.075515046,150.0468717,0.186933916
58272.96,0.050688657,148.6655781,0.246083909
58273.08487,0.024646991,149.04067,0.358482142
58273.87897,0.091313657,146.3088673,0.19016172
58274.85605,0.074994213,140.9001802,0.193688646
58274.98912,0.007980324,140.0050952,0.387602486
58275.72071,0.072042824,135.883011,0.194265818
58275.85999,0.034195602,136.5376552,0.307892431
58276.8109,0.040619213,131.6257675,0.247285977
58280.37808,0.045133102,109.6864757,0.313615151
58280.51427,0.048778935,108.1534413,0.205656532
58283.00362,0.072042824,92.76412897,0.196127181
58283.16456,0.034021991,91.84086572,0.450957101
58286.04715,0.064751157,82.12035011,0.285599565
58286.21291,0.034021991,83.49586085,0.575219542
58286.33961,0.032806713,81.39052069,0.347313937
58288.92889,0.040271991,82.2816917,0.233278182
58290.81054,0.068570602,85.44873883,0.206560645
58292.31024,0.042355324,92.75625853,0.21030371
58292.43278,0.037146991,93.36094923,0.255314555
58293.59265,0.070306713,99.40109091,0.208899646
58295.86244,0.050515046,118.5905347,0.355291777
58295.99605,0.051209491,118.6857958,0.513608261
58297.34054,0.040792824,129.4167094,0.277799731
58297.48513,0.052771991,131.1619606,0.267953932
58297.61774,0.052771991,132.9590352,0.247719254
58297.75036,0.052771991,133.0553696,0.24932671
58297.88325,0.052424769,135.5427851,0.343091037
58298.03539,0.069091435,136.0143922,0.312515393
58300.9633,0.051903935,168.5700383,0.344222053
58301.09966,0.055028935,169.5280478,0.28542733
58305.91939,0.041487269,122.7562013,0.250839761
58306.06955,0.056244213,123.2507894,0.230136925
58306.20169,0.052945602,120.2686303,0.284807328
58307.12856,0.053987269,69.2607821,0.201932483
58307.27954,0.067528935,56.28272611,0.2131328
58308.17406,0.037667824,47.84828907,0.238120272
58308.33759,0.065966435,63.14192906,0.203395302
58309.16792,0.037667824,36.30128352,0.225832929
