xtime,xlum,xlum_err,rtime,rlum,rlum_err,state
58223.34012349,1.21059813355e+38,1.737457312936e+36,58223.289,4.66799084287201e+30,6.464073257023934e+28,rising hard state
58224.41861274,1.208370182027e+38,1.203008216676e+36,58224.289,4.494764620187305e+30,1.1214118626430802e+29,rising hard state
58248.60203327,9.092849438531e+37,5.359856252373e+35,58248.319,4.057140478668055e+30,9.208341311134235e+28,rising hard state
58269.90210839,6.585670531544e+37,3.270113097829e+35,58270.209,3.52834464099896e+30,7.631070967741936e+28,rising hard state
58272.03122281,6.160273583272e+37,3.104920879701e+35,58272.238,3.2548295525494284e+30,4.968857440166495e+28,rising hard state
58275.80205625,5.492878591961e+37,3.77889703812e+35,58276.206,3.1545406867845997e+30,2.6530963579604584e+28,rising hard state
58280.2795331,4.698941086052e+37,5.228104272842e+35,58280.223,3.0360174817898025e+30,1.1396462018730488e+29,rising hard state
58385.2831387,1.109941270775e+37,2.742808081077e+35,58385.872,6.427604578563996e+28,5.962628928199793e+28,soft-to-hard state transition
58387.2709512,1.440456010246e+37,3.975145892903e+35,58387.854,9.48185639958377e+28,3.701570863683663e+28,soft-to-hard state transition
58389.0139489,1.512167848792e+37,6.36642682275e+35,58388.8355,1.6866763787721124e+29,3.929500104058273e+28,soft-to-hard state transition
58390.0834975,1.501412405754e+37,4.506995168409e+35,58390.24,3.090720499479709e+29,3.810976899063476e+28,soft-to-hard state transition
58391.8201526,1.381656231167e+37,5.662837086345e+35,58391.855,5.62529365244537e+29,2.9266114464099896e+28,soft-to-hard state transition
58393.1222128,1.285286659944e+37,5.674164416021e+35,58392.639,4.8776857440166504e+29,3.920382934443289e+28,decaying hard state
58393.1222128,1.285286659944e+37,5.674164416021e+35,58392.842,4.841217065556712e+29,4.038906139438085e+28,decaying hard state
58393.3309049,1.34338346966e+37,5.228309551232e+35,58393.688,5.9808632674297616e+29,4.394475754422478e+28,decaying hard state
58394.8453146,1.132921972971e+37,1.173506114063e+36,58394.6975,8.48808491155047e+29,9.664199791883455e+28,decaying hard state
58395.6396781,1.085425449307e+37,6.54055488197e+35,58395.644,8.09604661810614e+29,1.112294693028096e+29,decaying hard state
58397.096391,8.607955238695e+36,7.994087355868e+35,58396.82,1.2217007284079084e+30,4.421827263267431e+28,decaying hard state
58399.4910901,5.141620281354e+36,5.561703958724e+35,58399.818,9.573028095733612e+29,1.212583558792924e+29,decaying hard state
58401.7008702,3.262120503943e+36,5.901316562931e+35,58401.883,6.97463475546306e+29,4.959740270551509e+28,decaying hard state
58405.0973632,2.712688960517e+36,8.040886021247e+35,58404.76,4.549467637877211e+29,4.120960665972946e+28,decaying hard state
58408.0811248,1.521598249619e+36,5.139945240015e+35,58407.885,3.728922372528616e+29,4.531233298647242e+28,decaying hard state
58410.9380114,1.279970616705e+36,9.640449716845e+35,58410.297,3.61039916753382e+29,6.45495608740895e+28,decaying hard state
58410.9380114,1.279970616705e+36,9.640449716845e+35,58411.833,3.601281997918835e+29,1.230817898022893e+29,decaying hard state
